mean,std,range,median,label
3.900869829,0.647184369,3.038158082,3.828898623,0
8.651817062,6.286290166,18.09580317,4.630208814,0
3.781868447,1.000514263,4.333527556,3.82685856,0
3.161247214,1.216089932,4.112648847,2.732117982,0
2.690192254,0.831065338,3.474294288,2.514469059,0
3.024986683,0.718035858,2.469735425,3.11886313,0
2.621081002,0.833839164,3.037381433,2.210675195,0
3.277614575,0.810015563,2.883060578,3.540981913,0
3.21130716,0.557097419,2.586445651,3.118074014,0
2.857873581,0.68222427,2.305651286,2.950656955,0
2.887450786,0.61506551,2.613724199,2.962203577,0
2.911013184,0.650381593,3.417039668,2.941623687,0
2.629240319,0.67887658,2.646600769,2.519262223,0
3.183078705,1.010605888,3.363280068,2.894579881,0
2.379260559,0.491149907,1.848038001,2.090323224,0
2.836580734,0.68593044,2.858811836,2.755008261,0
3.258027309,0.937237119,3.607270709,3.152326703,0
2.374951263,0.500922449,1.947882091,2.113195365,0
2.454195109,0.491926764,1.961843937,2.326240475,0
2.693739852,0.453321168,2.076278,2.814335427,0
2.75236164,0.688437915,3.12045451,2.641262294,0
2.504147459,0.531385161,2.17994381,2.402050411,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
333.6491558,392.7841776,1182.779626,150.1647016,1
411.258876,327.9639769,1268.257485,405.2723003,1
205.1843089,298.2913476,1130.162428,6.350342001,1
428.744136,335.238652,1313.216222,431.7590185,1
548.3748593,249.4117815,1029.472459,576.9067396,1
351.5666302,375.0055944,1330.682523,249.1027751,1
391.4636425,368.5392446,1261.291747,418.0831202,1
462.3372671,284.3208083,1159.145805,496.7229512,1
336.1255329,357.7109812,1302.650786,239.1474921,1
297.2282148,312.7982761,1159.252301,236.7109668,1
250.2844942,316.8293319,1174.982108,154.4536455,1
199.7446609,350.1977029,1272.378011,2.045507615,1
166.8082065,331.9925962,1185.167069,4.669297416,1
127.7041018,281.1806956,1162.536215,2.235148686,1
146.6267084,255.8383468,1178.011394,3.768347936,1
229.0068168,258.7759772,965.7324409,189.4320919,1
327.5367996,239.1285558,978.2867265,362.4101408,1
421.7701079,208.3464774,1113.613036,392.2006667,1
1.979997604,0.064169315,0.288961535,1.99999962,0
2,6.47E-16,2.22E-15,2,0
1.990023013,0.046463745,0.288844193,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
462.7288801,362.5561914,1216.140305,486.6905283,1
369.3621504,327.9658892,1073.988877,367.3321472,1
448.6330728,330.4742644,1199.192125,448.8750279,1
455.1943244,346.4143409,1242.772633,484.2166631,1
441.5056212,315.5225445,1279.98738,453.75056,1
486.6923701,244.1250567,1215.94752,448.1882905,1
471.0113579,262.8741058,1214.303245,478.57341,1
505.5769572,248.5253902,1052.984854,502.3421178,1
412.6986296,294.8844626,1191.644743,386.965129,1
511.9773685,254.8849566,1117.851596,501.5401126,1
468.778729,289.0536812,1157.863309,519.1754656,1
527.7437392,285.3129115,1114.998657,570.5992615,1
383.2411456,345.594385,1168.345542,380.8491086,1
540.5071336,321.8380039,1331.96503,570.6734023,1
472.5027399,325.99538,1324.517285,435.1776607,1
479.060114,335.0804549,1215.216656,493.0056905,1
513.2394269,237.7308981,967.6002715,512.4505845,1
502.8207992,232.8622102,1220.205972,509.9751053,1
440.3807227,390.3871116,1291.156176,421.4317459,1
420.8866541,401.8591274,1189.134091,342.2802366,1
397.4525742,405.0252911,1246.780369,364.5072499,1
